# Markups fiducial file version = 4.11
# CoordinateSystem = LPS
# columns = id,x,y,z,ow,ox,oy,oz,vis,sel,lock,label,desc,associatedNodeID
1,346.04509296658216,455.2060526850528,0,0,0,0,1,1,1,0,F-1,,vtkMRMLVectorVolumeNode1
2,898.8022668068874,314.07656149178183,0,0,0,0,1,1,1,0,F-2,,vtkMRMLVectorVolumeNode1
3,1086.9749217312467,325.8373524245544,0,0,0,0,1,1,1,0,F-3,,vtkMRMLVectorVolumeNode1
4,2780.52881605048,725.7042441388185,0,0,0,0,1,1,1,0,F-4,,vtkMRMLVectorVolumeNode1
5,3156.874125899198,819.7905716009973,0,0,0,0,1,1,1,0,F-5,,vtkMRMLVectorVolumeNode1
6,4203.584518915946,1337.2653726429853,0,0,0,0,1,1,1,0,F-6,,vtkMRMLVectorVolumeNode1
7,3580.2625994790064,1631.285145962297,0,0,0,0,1,1,1,0,F-7,,vtkMRMLVectorVolumeNode1
8,4297.670846378125,1760.6538462227936,0,0,0,0,1,1,1,0,F-8,,vtkMRMLVectorVolumeNode1
9,4662.255365294071,2219.32469260092,0,0,0,0,1,1,1,0,F-9,,vtkMRMLVectorVolumeNode1
10,4015.411863991587,2513.344465920231,0,0,0,0,1,1,1,0,F-10,,vtkMRMLVectorVolumeNode1
11,3544.9802266806887,2548.6268387185482,0,0,0,0,1,1,1,0,F-11,,vtkMRMLVectorVolumeNode1
12,3815.4784181344553,2748.56028457568,0,0,0,0,1,1,1,0,F-12,,vtkMRMLVectorVolumeNode1
13,4662.255365294071,2924.9721485672662,0,0,0,0,1,1,1,0,F-13,,vtkMRMLVectorVolumeNode1
14,4732.820110890707,3701.1843501302487,0,0,0,0,1,1,1,0,F-14,,vtkMRMLVectorVolumeNode1
15,616.5432844203485,4830.220279676403,0,0,0,0,1,1,1,0,F-15,,vtkMRMLVectorVolumeNode1
16,1086.9749217312467,2066.434410474878,0,0,0,0,1,1,1,0,F-16,,vtkMRMLVectorVolumeNode1
17,1110.4965035967916,1772.4146371555664,0,0,0,0,1,1,1,0,F-17,,vtkMRMLVectorVolumeNode1
18,2204.25006034463,1666.567518760614,0,0,0,0,1,1,1,0,F-18,,vtkMRMLVectorVolumeNode1
19,2239.532433142947,855.072944399315,0,0,0,0,1,1,1,0,F-19,,vtkMRMLVectorVolumeNode1
20,3482.8365128558307,2412.83527318641,0,0,0,0,1,1,1,0,F-20,,vtkMRMLVectorVolumeNode3
21,3443.92016758494,2636.6042584940315,0,0,0,0,1,1,1,0,F-21,,vtkMRMLVectorVolumeNode3
