# Markups fiducial file version = 4.11
# CoordinateSystem = LPS
# columns = id,x,y,z,ow,ox,oy,oz,vis,sel,lock,label,desc,associatedNodeID
1,1176.8567903955536,1778.2949332265807,0,0,0,0,1,1,1,0,T-1,,vtkMRMLVectorVolumeNode1
2,1675.5143526182949,1618.348167985324,0,0,0,0,1,1,1,0,T-2,,vtkMRMLVectorVolumeNode1
3,1901.3215506059507,1571.3050017378955,0,0,0,0,1,1,1,0,T-3,,vtkMRMLVectorVolumeNode1
4,3952.403598993829,1646.5740677337808,0,0,0,0,1,1,1,0,T-4,,vtkMRMLVectorVolumeNode1
5,4328.748928973255,1750.069033478124,0,0,0,0,1,1,1,0,T-5,,vtkMRMLVectorVolumeNode1
6,5636.548950651764,2201.6834294534356,0,0,0,0,1,1,1,0,T-6,,vtkMRMLVectorVolumeNode1
7,5015.5791561857095,2474.5337936885207,0,0,0,0,1,1,1,0,T-7,,vtkMRMLVectorVolumeNode1
8,5843.5388821404495,2625.0719256802918,0,0,0,0,1,1,1,0,T-8,,vtkMRMLVectorVolumeNode1
9,6304.561911365247,2954.3740894122902,0,0,0,0,1,1,1,0,T-9,,vtkMRMLVectorVolumeNode1
10,5551.871251406394,3368.35395238966,0,0,0,0,1,1,1,0,T-10,,vtkMRMLVectorVolumeNode1
11,4977.944623187767,3462.4402848845166,0,0,0,0,1,1,1,0,T-11,,vtkMRMLVectorVolumeNode1
12,5344.881319917708,3650.61294987423,0,0,0,0,1,1,1,0,T-12,,vtkMRMLVectorVolumeNode1
13,6219.884212119876,3819.968348364971,0,0,0,0,1,1,1,0,T-13,,vtkMRMLVectorVolumeNode1
14,6351.605077612676,4582.067641573311,0,0,0,0,1,1,1,0,T-14,,vtkMRMLVectorVolumeNode1
15,1684.9229858677804,5861.641763503363,0,0,0,0,1,1,1,0,T-15,,vtkMRMLVectorVolumeNode1
16,2155.354648342064,3227.224453647375,0,0,0,0,1,1,1,0,T-16,,vtkMRMLVectorVolumeNode1
17,2202.397814589493,2897.922289915376,0,0,0,0,1,1,1,0,T-17,,vtkMRMLVectorVolumeNode1
18,3340.8424377772594,2681.523725177205,0,0,0,0,1,1,1,0,T-18,,vtkMRMLVectorVolumeNode1
19,3284.3906382803457,1900.6071654698944,0,0,0,0,1,1,1,0,T-19,,vtkMRMLVectorVolumeNode1
20,4954.870773546724,3272.5047990250177,0,0,0,0,1,1,1,0,T-20,,vtkMRMLVectorVolumeNode1
21,4819.03964771891,3586.614277501839,0,0,0,0,1,1,1,0,T-21,,vtkMRMLVectorVolumeNode1
